nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
415.65,1,0,0,0,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,3,2,1,0,0,0,1,1,4,1,0,0,0,0,1,1,0,0,1,0
0.0,0,1,0,0,0,0,1,1,0,0,1,0,3,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,5,1,0,0,0,0,0,1,1,0,0,0
626.0,0,1,0,0,1,0,1,0,0,0,1,0,13,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,6,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0
291.9,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0
607.82,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
664.68,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,3,0,0,0,0,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0
470.0,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0
719.7,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,7,0,1,2,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1
380.1,1,0,0,0,1,0,1,0,0,0,1,0,10,4,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,1
606.6,0,1,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,1,2,2,0,2,0,0,0,1,1,4,1,1,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0
