nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
1092.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,1,0,0,0
951.25,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,0,0
389.9,1,0,0,0,1,0,1,1,0,0,1,0,14,2,0,0,0,0,0,0,11,0,0,1,0,0,0,0,10,0,0,0,0,1,0,1,12,0,0,0,0,1,0,1,0,0,1,0
875.05,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,7,1,0,0,0,1,0,0,1,0,0,0
611.48,0,1,0,0,1,0,1,1,0,0,1,0,7,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0
423.75,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,6,0,0,5,0,0,0,1,0,4,2,3,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0
929.0,1,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
665.48,0,1,0,0,1,0,1,0,0,0,1,0,4,1,0,2,0,0,0,1,5,2,0,1,0,0,0,1,10,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,0
664.32,0,1,0,0,0,1,0,0,0,0,1,0,16,1,0,0,0,0,0,0,10,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,0,0
531.9,1,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,10,0,0,0,0,0,1,1,6,1,0,0,0,0,1,1,6,0,0,0,0,0,1,1,1,0,0,0
