nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
688.76,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0
493.6,1,0,0,0,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,1,0
668.2,0,1,0,0,0,1,0,0,0,1,0,0,15,2,1,0,0,0,0,0,4,3,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,1,0
280.1,1,0,0,0,1,0,1,0,0,0,1,0,12,2,0,0,0,0,0,0,4,6,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,1,0
616.1,0,1,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
764.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
414.9,1,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,1,0,0,0
664.0,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0
603.5,1,0,0,0,0,1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,11,0,0,0,0,0,0,1,0,0,1,0
710.3,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0
